[05/25/26 20:06:09] [INFO] received Windows console close event; shutting log-core down
[05/25/26 20:18:27] [INFO] received Windows console close event; shutting log-core down
[05/25/26 20:57:58] [INFO] received Windows console close event; shutting log-core down
[05/25/26 21:11:47] [INFO] received Windows console close event; shutting log-core down
[05/25/26 21:22:56] [INFO] received Windows console close event; shutting log-core down
[05/25/26 21:27:13] [INFO] received Windows console close event; shutting log-core down
[05/25/26 22:24:27] [INFO] received Windows console close event; shutting log-core down
[05/25/26 22:44:25] [INFO] received Windows console close event; shutting log-core down
[05/25/26 22:46:33] [INFO] received Windows console close event; shutting log-core down
[05/26/26 10:45:26] [INFO] received Windows console close event; shutting log-core down
[05/26/26 10:49:23] [INFO] received Windows console close event; shutting log-core down
[05/26/26 10:55:21] [INFO] received Windows console close event; shutting log-core down
[05/26/26 10:58:09] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:16:03] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:35:09] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:38:57] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:44:18] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:53:57] [INFO] received Windows console close event; shutting log-core down
[05/26/26 11:56:54] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:10:22] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:14:15] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:18:21] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:22:57] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:41:01] [INFO] received Windows console close event; shutting log-core down
[05/26/26 12:56:07] [INFO] received Windows console close event; shutting log-core down
[05/26/26 13:19:46] [INFO] received Windows console close event; shutting log-core down
[05/26/26 13:30:51] [INFO] received Windows console close event; shutting log-core down
[05/26/26 13:31:36] [INFO] received Windows console close event; shutting log-core down
[05/26/26 13:35:17] [INFO] received Windows console close event; shutting log-core down
[05/26/26 13:57:09] [INFO] received Windows console close event; shutting log-core down
[05/26/26 20:31:51] [INFO] received Windows console close event; shutting log-core down
[05/26/26 21:04:10] [INFO] received Windows console close event; shutting log-core down
[05/26/26 21:29:55] [INFO] received Windows console close event; shutting log-core down
[05/26/26 21:34:48] [INFO] received Windows console close event; shutting log-core down
[05/26/26 21:43:41] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:02:00] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:05:41] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:17:25] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:19:30] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:50:14] [INFO] received Windows console close event; shutting log-core down
[05/27/26 14:58:35] [INFO] received Windows console close event; shutting log-core down
[05/27/26 15:23:39] [INFO] received Windows console close event; shutting log-core down
[05/27/26 15:41:29] [INFO] received Windows console close event; shutting log-core down
[05/27/26 15:46:23] [INFO] received Windows console close event; shutting log-core down
[05/27/26 15:53:42] [INFO] received Windows console close event; shutting log-core down
[05/27/26 16:18:54] [INFO] received Windows console close event; shutting log-core down
[05/27/26 16:46:02] [INFO] received Windows console close event; shutting log-core down
[05/27/26 16:51:09] [INFO] received Windows console close event; shutting log-core down
[05/27/26 16:59:15] [INFO] received Windows console close event; shutting log-core down
[05/27/26 17:16:20] [INFO] received Windows console close event; shutting log-core down
[05/27/26 17:23:55] [INFO] received Windows console close event; shutting log-core down
[05/27/26 17:28:00] [INFO] received Windows console close event; shutting log-core down
[05/27/26 20:56:46] [INFO] received Windows console close event; shutting log-core down
[05/27/26 21:18:36] [INFO] received Windows console close event; shutting log-core down
[05/28/26 12:30:14] [INFO] received Windows console close event; shutting log-core down
[05/28/26 13:08:20] [INFO] received Windows console close event; shutting log-core down
[05/29/26 09:19:08] [INFO] received Windows console close event; shutting log-core down
[05/29/26 10:10:13] [INFO] received Windows console close event; shutting log-core down
[05/29/26 10:19:45] [INFO] received Windows console close event; shutting log-core down
[05/29/26 10:46:18] [INFO] received Windows console close event; shutting log-core down
[05/29/26 15:01:15] [INFO] received Windows console close event; shutting log-core down
[05/29/26 15:29:33] [INFO] received Windows console close event; shutting log-core down
[05/29/26 17:04:30] [INFO] received Windows console close event; shutting log-core down
[05/29/26 17:07:19] [INFO] received Windows console close event; shutting log-core down
[05/29/26 17:14:23] [INFO] received Windows console close event; shutting log-core down
[05/29/26 18:08:41] [INFO] received Windows console close event; shutting log-core down
[05/29/26 18:29:34] [INFO] received Windows console close event; shutting log-core down
[05/29/26 18:49:32] [INFO] received Windows console close event; shutting log-core down
[05/29/26 19:11:23] [INFO] received Windows console close event; shutting log-core down
[05/29/26 20:20:25] [INFO] received Windows console close event; shutting log-core down
[05/29/26 20:28:29] [INFO] received Windows console close event; shutting log-core down
[05/29/26 20:38:09] [INFO] received Windows console close event; shutting log-core down
[05/29/26 20:59:47] [INFO] received Windows console close event; shutting log-core down
[05/29/26 21:03:18] [INFO] received Windows console close event; shutting log-core down
[05/29/26 21:44:24] [INFO] received Windows console close event; shutting log-core down
[05/29/26 22:00:17] [INFO] received Windows console close event; shutting log-core down
[05/29/26 22:22:11] [INFO] received Windows console close event; shutting log-core down
[05/29/26 22:35:03] [INFO] received Windows console close event; shutting log-core down
[05/30/26 08:48:10] [INFO] received Windows console close event; shutting log-core down
[05/30/26 08:54:45] [INFO] received Windows console close event; shutting log-core down
[05/30/26 09:24:38] [INFO] received Windows console close event; shutting log-core down
[05/30/26 09:30:52] [INFO] received Windows console close event; shutting log-core down
